OBJECTID,AGENCYNAME,SOURCE,AGENCYUNIQUEID,LASTMODIFIEDDATE,MODIFIEDBY,SOURCECOMMENTS,Date_Data_Applies_To,GlobalID
38,Widren Water District,SCRO,2724,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{0118DCC1-6BFA-4262-85ED-02609CEF55C4}
40,Mercy Springs Water District,SCRO,1592,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{3E4F371B-6002-4337-940C-FC600A77F244}
42,Riverdale Irrigation District,SCRO,2076,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{DB809582-AE7D-4B3B-AFB9-E6B20CB19A01}
43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
44,Tri-Valley Water District,SCRO,2511,2016-05-23T16:04:00.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{31B91BDE-2FFF-4DB5-93E9-7E08B9838BE7}
45,Hills Valley Irrigation District,SCRO,1180,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5622BDEB-6547-4C70-8CCD-EB8D85A48F49}
47,Fresno Slough Water District,SCRO,964,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{C773EE90-F6E9-44E5-917B-50032A17AA0B}
48,Kings River Water District,SCRO,1303,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E2BB9DCF-1E4E-4460-B96C-F2B8A8C04324}
50,Ora Loma Water District,SCRO,1796,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E3C1E445-6ECC-411E-A557-481C5170F331}
51,Liberty Water District,SCRO,1422,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5213BB12-A7A4-47CC-BFE9-9E1195357560}
52,Corcoran Irrigation District,SCRO,619,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{091EA6FF-AC0C-45AE-BC68-DF29629A3FE4}
53,Atwell Island Water District,SCRO,111,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{42FC9F4B-9A1A-4896-B752-51F73F2272F9}
56,Green Valley County Water District,SCRO,1090,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{B3A852CB-0484-4A9E-A68E-3D55A4EA2C0A}
57,Devils Den Water District,SCRO,729,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2604679E-E2FE-4A67-A569-F0EAE1764C1F}
60,Angiola Water District,SCRO,75,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{D8B1076A-49E5-49F5-898C-BFE24AE7977D}
61,Salyer Water District,SCRO,2144,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2D033F1A-63BF-472E-84F0-C897C325734B}
62,Lakeside Irrigation Water District,SCRO,1364,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{B443B25D-0A26-4640-A3C2-0C52DE108DD7}
65,Alpaugh Irrigation District,SCRO,39,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{3F4B2CCB-CCD8-447D-A176-BE70EC7637D0}
66,Tulare Irrigation District,SCRO,2518,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{21D33668-AA85-4E44-BBE6-A1F051A1003A}
67,Saucelito Irrigation District,SCRO,2230,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{227811C7-162C-40FC-8EF1-930318C3B3E2}
68,Delano - Earlimart Irrigation District,SCRO,712,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{EB926502-91BB-4ABC-9D97-1A3F21258633}
69,Pixley Irrigation District,SCRO,1926,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{261EB820-9B13-4A4D-AF41-4C35592BA357}
70,Lower Tule River Irrigation District,SCRO,1500,2017-01-10T10:03:55.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{C13BDBF9-E8BB-4C8C-9DD5-6D99198A939D}
71,Ivanhoe Irrigation District,SCRO,1248,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{770E357C-7F55-4DF5-8105-21702DB7A1E4}
72,Stone Corral Irrigation District,SCRO,2384,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{1EEB073E-9592-4E47-A143-F04D4FAFCA68}
73,Kern - Tulare Water District,SCRO,1287,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{9432E89C-6423-4AD3-B6C7-1BD1F9578035}
74,Lewis Creek Water District,SCRO,1421,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{C234C635-3CE4-4311-A10D-E0A8968E8146}
75,Lindsay - Strathmore Irrigation District,SCRO,1433,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2684C64C-8EAA-46A5-851A-4C561C4A3EC2}
76,Exeter Irrigation District,SCRO,864,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2F22D595-2D84-4D01-849A-FFCA293922D8}
77,Lindmore Irrigation District,SCRO,1431,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{D15D4F24-D4D2-4136-8F8E-B6DF68186085}
78,Porterville Irrigation District,SCRO,1958,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{40209707-9397-432C-B79D-67B8A8CD2502}
79,Tea Pot Dome Water District,SCRO,2450,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A864C43D-79F2-4462-A1D0-FEAE51E08155}
80,St Johns Water District,SCRO,2368,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{EA550516-0AE9-4382-9B29-E0D758498210}
81,Vandalia Irrigation District,SCRO,2621,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{3DCC771D-B735-44C0-80DE-D10A74371B27}
82,Terra Bella Irrigation District,SCRO,2460,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{9150837F-17DF-4C62-9D36-25DE58542A77}
84,Kern Delta Water District,SCRO,1289,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{13E0C485-D5E4-44AB-90E5-B908D1FE8DD3}
85,Wheeler Ridge - Maricopa Water Storage District,SCRO,2715,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E7D1F749-3C3A-4154-A943-0095E87E96F1}
86,West Kern Water District,SCRO,2679,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{0E6F48B9-551B-43CA-8239-01664586267D}
87,Belridge Water Storage District,SCRO,176,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{184ED363-BC91-48AC-BC08-27053E442B2B}
88,Berrenda Mesa Water District,SCRO,181,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{C4109EEC-8A3D-4DD4-8621-BC3E05F09AFB}
89,Semitropic Water Service District,SCRO,2247,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5030E7D7-64CA-4333-B445-874B7C36DD0F}
90,Rosedale - Rio Bravo Water Storage District,SCRO,2109,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2B0922D2-4331-4310-A188-E8C746F98A46}
91,Buena Vista Water Storage District,SCRO,284,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{8FCD432C-196F-47C1-AE1C-5163B2721E87}
92,North Kern Water Storage District,SCRO,1745,2016-12-16T09:39:43.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{8BF12A7B-995B-412F-A8A6-5CAAD8A2C7AC}
93,Cawelo Water District,SCRO,500,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2FD493E5-09D5-4DEB-925D-BB79BC07B16B}
94,Southern San Joaquin Municipal Utility District,SCRO,2354,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{9E784BAA-FAE4-4E48-8503-E5C7089F3B44}
95,Tehachapi - Cummings County Water District,SCRO,2452,2017-05-03T10:57:03.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{5AE2D1FB-A2B5-44C0-B577-5E4310E99694}
96,Olcese Water District,SCRO,1789,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{408AF4B9-8B3C-429C-ABDD-9C5D90A0DE4B}
97,Arvin - Edison Water Storage District,SCRO,101,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{D39DC059-4C33-4ACD-946C-D5842967F776}
98,Oakdale Irrigation District,SCRO,1766,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5692A4FE-EF2E-4105-A2BE-3089CCA498BB}
99,Modesto Irrigation District,SCRO,1632,2015-08-24T10:51:35.000Z,JCOMMON,,2013-11-07T00:00:00.000Z,{818E45B8-A9C3-405C-9937-B3E0A010A7BE}
101,Garfield Water District,SCRO,978,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{D7488F8B-7475-455E-AFC8-31D8953B5B39}
102,International Water District,SCRO,1240,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{9D9D2703-CDB9-4B2B-9DA6-2EA00B42B710}
103,Stratford Irrigation District,SCRO,2389,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{1BE6B4BE-6E9F-4221-8657-8A35FA8A2A83}
105,Stevinson Water District,SCRO,2377,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{7F166582-B012-4D98-81E7-0B412E115DB7}
106,Shafter - Wasco Irrigation District,SCRO,2261,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{7838B863-D861-4C2D-A98D-55CDBF284B80}
107,Henry Miller Water District,SCRO,1160,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{096D1042-FD32-4EE4-8862-C02B81698155}
108,Aliso Water District,SCRO,32,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{905DA7D6-C2A8-4205-8E98-3EB1594BC785}
110,Byron Bethany Irrigation District,SCRO,309,2016-01-29T13:57:54.000Z,JCOMMON,,2013-11-07T00:00:00.000Z,{9FDB27C5-22BB-467B-B708-B222B45D352A}
112,Centinella Water District,SCRO,509,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{3D948557-9C45-445D-9785-A3DA9D44CA39}
114,Western Hills Water District,SCRO,2695,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{BA308F9F-96F8-4B4D-8749-F06D50364733}
115,Family Farms Water District,SCRO,876,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{22F6FFF9-C5DA-4394-870D-D80286D62E30}
116,Coelho Family Trust,SCRO,584,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A9ADFC4E-966C-4FBD-9321-AF39AF7ACE48}
118,Naglee Burk Irrigation District,SCRO,1698,2018-05-08T11:32:02.000Z,JCOMMON,Updated using San Joaquin County GIS data download,2013-11-07T00:00:00.000Z,{643E23A4-569C-43B7-84CC-E4FCE775A0D4}
119,Ducor Irrigation District,SCRO,761,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{4EE7A37A-5B9E-4D1E-95DD-3FA793DE1824}
120,Melga Water District,SCRO,1582,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{AEA34737-A2A8-4F68-B5F1-D595C9B39587}
121,New Stone Water District,SCRO,1726,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A421B45D-F9D1-440A-AE52-387FB43F8FA8}
122,Raisin City Water District,SCRO,1992,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5B36CB07-4745-4E38-BFCA-99CAE5D5852D}
124,Monterey County Recycling Project,SCRO,1647,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{C8F22CCB-3349-4592-8EE8-76DE26532F69}
126,Santa Maria Valley Water Conservation District,SCRO,2219,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{108CBC33-1A5F-4B24-96FB-9DD8602A3176}
128,San Ardo Water District,SCRO,2147,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{3FE281D5-9B1C-4B37-AC70-DF1CA06B79F4}
129,Castroville Water District,SCRO,498,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{325BA250-6F3A-4903-A044-C8687D58DDA8}
130,Toro Water Service No 2710021,SCRO,2486,2016-05-23T16:01:05.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{BF9FC55F-91EB-4D1E-97E7-B105044B001F}
131,Monterey County Service Area No 75,SCRO,1648,2016-07-27T16:40:55.000Z,WARNOLD,,2013-11-07T00:00:00.000Z,{8EDD7548-3D69-4E00-A072-5108C3045732}
133,Alco Water Service,SCRO,25,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{8EFBE778-9B65-40DE-8564-8525B29492ED}
134,Atascadero Mutual Water Company,SCRO,107,2017-03-07T12:58:31.000Z,KKONSTAN,"Atascadero MWC, minor edits to existing layer",2013-11-07T00:00:00.000Z,{76248E3E-EC7B-410D-81A7-4FE759834159}
135,Ralph Lane-Co. Serv. Area #69  @USBR Source 2,SCRO,1994,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{FC705230-8ADB-4EA6-9094-EAA5A53FFE50}
136,Monterey Peninsula Water Management District,SCRO,1651,2016-12-16T10:24:36.000Z,SERYSIAN,verified by GSA submittal for Monterey Peninsula WMD 20151023,2013-11-07T00:00:00.000Z,{07201A3B-34E7-464C-B5D5-8BBEAC6BFA7B}
137,Avila Beach Community Service District,SCRO,116,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A7984023-E204-4883-A590-02D7EAA03E67}
140,San Lorenzo Valley Water District,SCRO,2180,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{860F43E9-74E0-425E-902C-5EA1FC62C73B}
142,Scotts Valley Water District,SCRO,2237,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{4C389B12-66ED-4E72-88B6-D2CA56867426}
143,Soquel Creek Water District,SCRO,2330,2016-11-21T13:50:25.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{CDF34CA2-0F68-4886-85FE-2A76D7A90762}
144,Sunnyslope Community Water District,SCRO,2424,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{677FE18B-0EE3-4DD8-B511-31CE4E5B5275}
145,Tres Pinos County Water District,SCRO,2505,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A2A834BE-6681-480B-9527-0DB8C79ED358}
146,Santa Cruz  City Of,SCRO,2213,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{43BCFAAB-5D77-42F7-BD4B-F132AC0E2C35}
148,Hollister City Of,SCRO,1188,2018-03-30T09:29:02.000Z,SERYSIAN,updated boundary from San Benito County,2013-11-07T00:00:00.000Z,{EFFA5C7E-670E-4FDF-8453-F16DB818FAA5}
149,Templeton Community Services District,SCRO,2457,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{0894E3B5-0DFD-46F5-ACD1-0D29A72A17B0}
150,Morro Bay  City Of,SCRO,1660,2016-05-23T14:13:18.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{D141EEA4-5D12-4869-877C-C06A9D2B9163}
151,Oceano Community Service District,SCRO,1776,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{27A805F6-8984-4BD3-A867-C1316504DCBC}
153,Shandon County Service Area No 16,SCRO,2263,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{87CFE8DF-24D8-430C-B908-5A67FBE7B95F}
157,Guadalupe  City of,SCRO,1112,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{948B57A2-ED74-4DDD-98DC-D8A34C578AC3}
162,Goleta  City Of,SCRO,1067,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{B6B3FB90-1D31-4940-A426-A0F96E7ECF8C}
164,Tejon - Castac Water District,SCRO,2455,2017-09-07T09:03:54.000Z,SERYSIAN,member unit of Kern County Water Agency,2013-11-07T00:00:00.000Z,{C47FB12B-1AB7-4C8F-A6B1-3BA7E34A355A}
167,Los Osos Community Services District,SCRO,1490,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A337E2B3-2645-4FA1-A37D-EA5EB05322EE}
168,San Luis Obispo County Water District No 23,SCRO,2187,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{62EFECA6-E66B-4512-B514-DF804616E29B}
169,Garden Farms Community Water District,SCRO,976,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{CC91D95C-B9B7-4C56-82B2-585608063E49}
170,San Luis Obispo County Water District No 10,SCRO,2186,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{634AE0B9-08A1-46FE-869A-7D50271B2147}
171,San Miguel Community Services District,SCRO,2191,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{CD2E99EF-3D8D-4243-B5A2-D4BB63C6A61A}
172,Nipomo Community Service District,SCRO,1731,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2E1EDF2F-E06A-4697-91F4-A8B5B5310BD8}
175,San Luis Obispo County Service Area 16,SCRO,2185,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{1E0103C6-CDEA-4F87-875B-DEC7BB917B16}
176,Central San Joaquin Water Conservation District,SCRO,519,2018-05-08T10:30:13.000Z,JCOMMON,Updated using San Joaquin County GIS data download,2013-11-07T00:00:00.000Z,{0A50E33C-2D9D-4F92-9D25-B99B2957DFD9}
180,Fresno  City Of Service area,SCRO,934,2016-05-23T14:09:59.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{AA6B6103-329A-4605-A308-E734192C2597}
183,Tracy  City Of,SCRO,2496,2016-01-29T13:57:54.000Z,JCOMMON,,2013-11-07T00:00:00.000Z,{851BEB37-B724-4C3F-B55B-29199D0C4BCF}
184,Fresno County Service Area No 34 Brighton Crest,SCRO,944,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{06C9F656-27EA-490F-8D7F-7CD1A615614A}
185,Fresno County Service Area No 34A,SCRO,945,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{DEAE61B8-B22A-4AEE-B427-0D26CCA350AB}
186,Fresno County Service Area No 41,SCRO,947,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A78DDF91-1DEC-4D7B-A19E-101E40526CA8}
187,Fresno County  Parks Department  Avocado Lake Park,SCRO,935,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5C3D74DA-C1DB-4C21-8BF9-784AF65C3A35}
188,Hidden Lakes Estates,SCRO,1171,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84940A0E-922A-4561-BD0E-21C75F0E44A9}
190,Strathmore Public Utilities District,SCRO,2391,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{29F8D91E-4257-4B53-8ED5-53D72D2D9A9A}
191,Styro-Tek,SCRO,2396,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{BA6B2E14-FBE4-43BE-AC5B-9A08135C5B01}
192,Tranquility Public Utility District,SCRO,2500,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{74B4EC02-6D6B-404D-A408-96C4451A30D1}
193,US Vetrans Association San Joaquin National Cemetery,SCRO,2594,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{EA70B961-0D10-4F0D-97FC-1D529DF6AE7C}
194,Visalia  City Of,SCRO,2647,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{A9D63423-0123-41B7-8838-F6A2064941C2}
195,Skyline County Water District,SCRO,2316,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{AC42589C-5A72-4FE3-874F-42E37F292DB6}
196,Golden Hills Community Services District,SCRO,1019,2017-05-03T10:39:54.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{BCC9B472-4A8A-42BE-A566-532AEC6F46E5}
197,Frazier Park Public Utilities District,SCRO,931,2017-03-22T13:43:28.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{109EB4B7-9980-4C84-8372-89C989EE983C}
199,California Water Service Company - Bakersfield,SCRO,386,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2D7F86AB-A650-44C8-B234-9E3D6C28AACA}
200,Corcoran  City Of,SCRO,618,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{40A9543F-3103-4ED7-8A6E-92E893E8ED95}
201,Clovis  City Of,SCRO,574,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{11325715-0124-4CEF-B72E-C0981E8CE2EE}
202,Ceres  City Of,SCRO,522,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{5DDC7600-0F0F-4A96-AC84-4432578B9541}
203,Atwater  City Of,SCRO,110,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{C15304FB-7639-403D-98E3-821D191C4D55}
204,Biola Community Services District,SCRO,220,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{30D97182-AC6E-45E1-8CDA-430F921E5EF9}
207,Dos Palos City Of,SCRO,745,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E2044C03-D205-43AC-B3FC-DF7AC587AC11}
210,Caruthers Community Service District,SCRO,488,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E8461C53-1F7D-4525-8A54-606915DB3EB6}
211,Hanford  City Of,SCRO,1125,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{CE067F89-E038-4E04-8C1B-9922F3F285CE}
213,Riverbank  City Of,SCRO,2074,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{D5982BB6-FBC2-4A33-8B42-2BA5AD7D93D5}
215,Newman  City Of Service Area,SCRO,1729,2016-05-23T14:15:33.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{F35E73B2-EAA2-4898-AA29-C6CB8799C0F8}
